year_month,BDI_mean,Brent_USD_per_barrel,policy_rate,FAO_23012,FAO_23013,FAO_23014,BWA_FAO_CP_23012,BWA_FAO_CP_23013,BWA_FAO_CP_23014,KEN_FAO_CP_23012,KEN_FAO_CP_23013,KEN_FAO_CP_23014,NAM_FAO_CP_23012,NAM_FAO_CP_23013,NAM_FAO_CP_23014,ZAF_FAO_CP_23012,ZAF_FAO_CP_23013,ZAF_FAO_CP_23014,ZWE_FAO_CP_23012,ZWE_FAO_CP_23013,ZWE_FAO_CP_23014
2001-01,1565.9545454545455,25.62,14.0,34.291207,33.061978,3.602384,34.291207,33.061978,3.602384,26.658805,22.919383,16.136017,39.410318,33.467834,7.319912,47.820179,35.917669,4.958652,90.028959,91.296524,1.882258
2001-02,1479.15,27.5,14.0,34.341562,33.243495,3.359312,34.341562,33.243495,3.359312,26.495003,22.23739,13.673317,39.742889,33.784232,7.717045,47.958387,36.306538,5.333317,90.099992,91.437082,1.87931
2001-03,1501.590909090909,24.5,14.0,34.643687,33.295356,2.72,34.643687,33.295356,2.72,26.3312,21.969282,12.70793,40.07546,34.10063,8.109677,48.280873,36.447949,4.563895,90.171025,91.577639,1.876372
2001-04,1440.1052631578948,25.66,14.0,34.794749,33.321287,2.173337,34.794749,33.321287,2.173337,26.720231,22.397928,12.21647,40.408031,34.417028,8.497884,48.511219,36.58936,4.020101,90.242058,91.718197,1.873442
2001-05,1448.2857142857142,28.31,14.0,35.273114,33.476873,2.028451,35.273114,33.476873,2.028451,26.904508,22.794996,9.278117,40.740603,34.733426,8.88174,48.695497,36.836833,3.888342,90.313092,91.858754,1.870522
2001-06,1377.4761904761904,27.85,14.0,35.373823,33.528735,1.571092,35.373823,33.528735,1.571092,26.945459,23.126842,6.140986,41.073174,35.049824,9.261318,48.925844,36.80147,3.17144,90.384125,91.999311,1.867611
2001-07,1221.3636363636363,24.61,13.5,35.524885,33.65839,1.963865,35.524885,33.65839,1.963865,26.986409,23.367421,5.675173,41.405745,35.366222,9.636689,48.87979,36.97823,3.666981,90.455158,92.139869,1.864709
2001-08,979.9090909090909,25.68,13.5,35.625594,33.736183,2.199529,35.625594,33.736183,2.199529,27.047835,23.591891,5.367976,41.738316,35.68262,10.007922,48.787636,37.15499,3.956479,90.526192,92.280426,1.861816
2001-09,945.2,25.62,13.5,35.776656,33.788045,2.356638,35.776656,33.788045,2.356638,26.965934,23.495062,4.095033,42.070887,35.999018,10.375087,48.925844,37.50851,4.635092,90.597225,92.420983,1.858931
2001-10,898.0434782608696,20.54,13.5,35.952896,33.842976,2.576765,35.952896,33.842976,2.576765,27.006884,23.42901,4.275592,42.403459,36.315416,10.738248,48.87979,38.038791,6.32412,90.668258,92.561541,1.856056
2001-11,855.2272727272727,18.8,13.5,36.053604,34.160093,3.592213,36.053604,34.160093,3.592213,26.945459,23.379324,2.852415,42.73603,36.631814,11.097472,49.110121,38.710483,8.523282,90.739292,92.702098,1.85319
