Date,general_cpi,food_cpi,food_inflation,bdi_mean,bdi_std,bdi_min,bdi_max,bdi_range,bdi_cv,bdi_month_return,bdi_first_second_change,bdi_pct_extreme_days,bdi_positive_days,bdi_intraday_range_mean,bdi_last,bdi_momentum_3m,bdi_roll3_mean,bdi_roll6_mean,bdi_roll3_std,Brent_USD_per_barrel,brent_mom_pct,brent_yoy_pct,brent_roll3_mean,policy_rate,policy_change_1m,policy_change_12m,bwa_food_inflation_hcp,ken_food_inflation,nam_food_inflation,zaf_food_inflation,zwe_food_inflation,Brent_USD_per_barrel_lag12,bdi_mean_lag12,policy_rate_lag12,zaf_food_inflation_lag12,bdi_momentum_3m_lag12,food_inflation_lag1,food_inflation_lag2,food_inflation_lag3,food_inflation_lag6,food_inflation_lag12,food_inflation_lag13,food_inflation_lag18,food_inflation_lag24,food_inflation_roll3,food_inflation_roll6,food_inflation_roll12
2000-01-01,31.74832,31.912372,,1370.55,30.325384537849164,1319.0,1406.0,87.0,0.022126434305825518,-0.0007575757575757347,-7.370011423590839e-06,0.0,0.47368421052631576,0.0,1319.0,,,,,25.51,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,31.974914,32.163038,,1392.952380952381,93.93480515255045,1276.0,1531.0,255.0,0.06743576193776697,0.16781083142639197,0.1284922778585773,0.0,0.7619047619047619,0.0,1531.0,,,,,27.78,,,,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,32.27704,32.413704,,1620.695652173913,28.529784727557807,1547.0,1660.0,113.0,0.017603419056063677,0.07304460245636712,0.013059806856045686,0.0,0.6521739130434783,0.0,1660.0,,1461.3993443754314,,138.4086410841294,27.49,,,26.926666666666666,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,32.679873,32.612508,,1666.5882352941176,18.65160456746755,1628.0,1686.0,58.0,0.01119148939880518,-0.02456560814859199,-0.016964285714285765,0.0,0.35294117647058826,0.0,1628.0,0.21599958797133834,1560.0787561401369,,146.54334259498168,22.76,-0.10780086240689923,,26.01,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-05-01,32.88129,32.811312,,1601.8,16.3211196726334,1566.0,1622.0,56.0,0.010189236903879012,-0.03452527743526512,-0.012002605993785664,0.0,0.2,0.0,1566.0,0.14993162860659104,1629.69462915601,,33.318389039307554,27.74,-0.0014398848092153083,,25.996666666666666,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,33.05753,33.010116,,1588.6363636363637,26.65394718297649,1559.0,1626.0,67.0,0.016777878055092496,0.03457106274007682,0.030678054732438564,0.0,0.5909090909090909,0.0,1616.0,-0.01978118994429745,1619.0081996434938,1540.2037720094625,41.727870482022134,29.8,0.0840305565660242,,26.766666666666666,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,33.535894,33.010116,,1618.2380952380952,12.8136831625601,1600.0,1642.0,42.0,0.007918292864484068,0.017978921264724113,0.0141884511553938,0.0,0.42857142857142855,0.0,1642.0,-0.02901144927828536,1602.8914862914862,1581.4851212158117,14.831019358039487,28.68,0.2601054481546572,,28.74,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,33.611426,33.010116,,1638.857142857143,7.875821952569233,1627.0,1652.0,25.0,0.004805679364364071,0.004255319148936065,-0.00492970604345444,0.0,0.47619047619047616,0.0,1652.0,0.02313468776198202,1615.2438672438673,1622.4692481999389,25.243924365014244,30.2,0.08868060562364821,,29.560000000000002,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,33.712134,33.010116,,1711.5238095238096,26.577469871338483,1661.0,1740.0,79.0,0.015528542298650829,0.046959662853702566,0.025830734487579443,0.0,0.8571428571428571,0.0,1739.0,0.07735404319095296,1656.2063492063492,1637.6072744249213,49.00308503716318,33.14,0.11208053691275177,,30.673333333333336,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,33.989082,32.992829,,1734.3181818181818,14.551669397395003,1718.0,1759.0,41.0,0.008390426595274277,0.01383285302593662,0.012471457873756808,0.0,0.5909090909090909,0.0,1759.0,0.07173239025930078,1694.8997113997114,1648.895598845599,49.85451803708407,30.96,0.07949790794979084,,31.433333333333334,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
